Name,TEAM,ADP,ADP_TREND,PRIMARY_POS,SECONDARY_POS
Giannis Antetokounmpo,Mil,1.3,0,PF,SF
Anthony Davis,LAL,3.5,0,PF,C
Karl-Anthony Towns,Min,3.7,0,C,
James Harden,Hou,4.4,0,SG,PG
LeBron James,LAL,5.7,-0.1,SF,PF
Nikola Jokic,Den,5.8,0,C,
Stephen Curry,GS,5.8,0.2,PG,
Ben Simmons,Phi,10.3,0.3,PG,
Andre Drummond,Det,11.4,-0.2,C,
Joel Embiid,Phi,12.2,-0.1,C,
Damian Lillard,Por,12.3,0,PG,
Pascal Siakam,Tor,14.4,-0.3,PF,
Russell Westbrook,Hou,14.5,0.1,PG,
Bradley Beal,Wsh,14.7,0.2,SG,
Rudy Gobert,Utah,15.4,-0.2,C,
Zion Williamson,NO,18.3,3.7,PF,
Luka Doncic,Dal,18.4,0.5,SG,
Kawhi Leonard,LAC,18.8,-0.3,SF,
Paul George,LAC,20.2,-0.3,SF,
Nikola Vucevic,Orl,20.7,-0.2,C,
Kyrie Irving,Bkn,21.5,-0.7,PG,
Deandre Ayton,Phx,24.2,-0.3,C,
Jimmy Butler,Mia,24.7,-0.1,SG,SF
John Collins,Atl,26.7,-0.6,PF,
LaMarcus Aldridge,SA,27,-0.6,PF,C
DeMar DeRozan,SA,27.3,-0.2,SG,SF
Julius Randle,NY,27.6,-0.5,PF,
Clint Capela,Hou,31.3,-0.3,C,
Devin Booker,Phx,33.5,0.4,SG,
De'Aaron Fox,Sac,34,0.6,PG,
Jayson Tatum,Bos,34.1,-0.7,SF,PF
Donovan Mitchell,Utah,34.3,0,SG,
Jrue Holiday,NO,34.7,2,PG,SG
Trae Young,Atl,35.2,1.5,PG,
Blake Griffin,Det,35.4,0,PF,
Tobias Harris,Phi,35.5,2.2,PF,SF
Draymond Green,GS,39.1,-0.2,PF,C
Montrezl Harrell,LAC,41.4,-0.3,C,PF
Kemba Walker,Bos,41.7,0.4,PG,
Jonas Valanciunas,Mem,41.9,-1,C,
Terry Rozier,Cha,45.7,0.1,PG,
Buddy Hield,Sac,48.1,0.1,SG,
D'Angelo Russell,GS,50.6,-0.1,PG,SG
Khris Middleton,Mil,50.9,-0.1,SF,SG
Jamal Murray,Den,52.2,1,PG,SG
Kevin Love,Cle,52.5,0.3,PF,C
DeAndre Jordan,Bkn,53.1,-0.4,C,
CJ McCollum,Por,54.1,1,SG,
Enes Kanter,Bos,55.2,-1.2,C,
Kristaps Porzingis,Dal,56.3,5.3,PF,
Steven Adams,OKC,57.3,1.8,C,
Otto Porter Jr.,Chi,58.2,-1.5,SF,
Lauri Markkanen,Chi,58.9,1.5,PF,
Marvin Bagley III,Sac,59.8,0.7,PF,
Chris Paul,OKC,63.6,0.4,PG,
Hassan Whiteside,Por,65.7,-0.1,C,
Thomas Bryant,Wsh,66.1,-0.2,C,
Zach LaVine,Chi,67,4.2,SG,
Jaren Jackson Jr.,Mem,69.4,2.6,PF,C
Danilo Gallinari,OKC,69.7,0.3,SF,PF
Kyle Lowry,Tor,69.8,0.9,PG,
Mitchell Robinson,NY,70.3,-0.2,C,
Lonzo Ball,NO,70.8,3.7,PG,
Eric Bledsoe,Mil,71.2,0.2,PG,
Ricky Rubio,Phx,71.2,0.5,PG,
Domantas Sabonis,Ind,72.1,1,PF,C
Mike Conley,Utah,73.7,1.7,PG,
Kyle Kuzma,LAL,73.9,0.8,PF,SF
Lou Williams,LAC,77,0.6,SG,
Bojan Bogdanovic,Utah,77.2,0,SF,
RJ Barrett,NY,77.4,2.3,SG,SF
Malcolm Brogdon,Ind,81,0.9,SG,
Al Horford,Phi,81.4,0.1,C,
Ja Morant,Mem,82.1,1.9,PG,
Derrick Favors,NO,82.3,0.4,PF,C
Gordon Hayward,Bos,84,0.9,SF,
Myles Turner,Ind,85,1.6,C,
Serge Ibaka,Tor,85.7,0.3,PF,C
Jarrett Allen,Bkn,86.5,-0.6,C,
Aaron Gordon,Orl,87.9,2.6,PF,
Andrew Wiggins,Min,89.6,1.7,SF,SG
Jeremy Lamb,Ind,92.4,0.6,SG,SF
Joe Ingles,Utah,96,0.5,SF,
Paul Millsap,Den,98.3,0.8,PF,
Willie Cauley-Stein,GS,98.6,-1.2,C,
Marc Gasol,Tor,99.3,-0.9,C,
Dario Saric,Phx,99.6,0.2,PF,
Dwight Howard,LAL,101.4,-2.3,C,
Shai Gilgeous-Alexander,OKC,101.6,4.9,PG,
